archive/remote-windows-installer-certification-2026-08-23-2026-08-25	087a19a6525b04dba473047f9234f4bd7b3cf959	2026-08-25 02:21:23 +0500	certification(windows): finalize installer lifecycle and runtime hardening
archive/remote-windows-installer-certification-2026-08-25	67d51158bb7a3da3e83569bbfbde157af1018d61	2026-08-23 19:26:52 +0500	fix(windows): remove unavailable NSIS sample icon overrides
archive/remote-windows-installer-data-safe-2026-08-23-2026-08-25	3df3df98532c96468e984c46cd4ab154b965bf59	2026-08-23 17:22:05 +0500	ci(windows): run installer certification on branch pushes
archive/remote-windows-installer-pg-ci-2026-08-23-2026-08-25	5180ded4307c8823d440118f4aec4b33f9b53252	2026-08-23 17:09:05 +0500	fix(windows): provision postgres for clean installer CI tests
archive/branch-archive--windows-installer-experiment-2026-08-25-2026-08-25	4427284d1bef582bb3581330e0f7376dc26666b2	2026-08-25 15:33:26 +0500	feat(auth): add logout endpoint
archive/branch-fix-cors-preflight-2026-08-24-2026-08-25	d4296882f6c5d998fb1e0f16bc16c64cd34ec0f4	2026-08-24 00:25:16 +0500	Add CORS preflight regression coverage
archive/branch-fix-milk-finance-reconciliation-2026-08-24-2026-08-25	94ae47f1b415ed066a2f3b929ea4ce5e7d9ffca3	2026-08-24 01:25:46 +0500	Harden Milk finance reconciliation and workflow simulations
archive/branch-reconciliation-before-remote-sync-2026-08-24-2026-08-25	11b929be779706c8c14c221dcb536f5867acfd82	2026-08-24 17:52:50 +0500	test(windows): bound initialize-only lifecycle probe
archive/branch-windows-installer-certification-2026-08-23-2026-08-25	37b3257d25d73b880ca18c3b02a886b0836c7286	2026-08-25 19:07:39 +0500	Remove obsolete Windows installer certification infrastructure
archive/remote-audit-remediations-2026-08-23-2026-08-25	7ed8f4d178a272b2c37f92d4124f20f7d70acc7a	2026-08-23 19:56:32 +0500	test: guard removal of orphaned planning prototype
archive/remote-fix-cors-preflight-2026-08-24-2026-08-25	d4296882f6c5d998fb1e0f16bc16c64cd34ec0f4	2026-08-24 00:25:16 +0500	Add CORS preflight regression coverage
archive/remote-fix-milk-ledger-entry-2026-08-24-2026-08-25	889b2c7d6a79cd94656a9b529a187a3194e3a43b	2026-08-24 00:17:21 +0500	Redesign Milk tab operator entry flow
archive/remote-functional-live-analytics-feed-dashboard-20260823-2026-08-25	175273acefd74f741bae7744cb22015a276ee5cd	2026-08-23 22:26:28 +0500	noop(dashboard): restore exact formatted API-backed source
archive/remote-milk-entry-redesign-2026-08-24-2026-08-25	d808c855bc5f8a482c42b12f3a1a038aeceb013c	2026-08-24 00:14:45 +0500	Redesign Milk tab entry and register interactions
archive/remote-milk-tab-refactor-20260823-2026-08-25	8f36b98e10c7bdbca884b845b4654d454f4b524b	2026-08-23 22:30:12 +0500	Merge functional live Analytics, authoritative Feed projection, and Dashboard COML authority
archive/remote-milk-tab-refactor-20260824-2026-08-25	8f36b98e10c7bdbca884b845b4654d454f4b524b	2026-08-23 22:30:12 +0500	Merge functional live Analytics, authoritative Feed projection, and Dashboard COML authority
archive/remote-reconciliation--windows-certification-2026-08-25-2026-08-25	b5d7eaea3a5f5cb58923ac386b6772aabff57b46	2026-08-25 13:46:03 +0500	reconcile(windows): integrate certified installer lifecycle, recovery, and data-safety stack
archive/remote-revert--ui-consolidation-2026-08-23-2026-08-25	d0381a1776422edcf58f8d12be9a7866116efc23	2026-08-23 03:03:21 +0500	revert(ui): restore known-good pre-PR41 dashboard, milk and feed UI
archive/remote-ui--consolidation-2026-08-23-2026-08-25	1a0d7f7c4454ea08504d31c2241aeafd3732a3c5	2026-08-23 02:37:52 +0500	feat(ui): redesign Milk tab around monthly and daily reconciliation
pre-branch-reconciliation-2026-08-25	122c19f75fa7dea0e9bb7a2a3b1567236257ea23	2026-08-25 19:07:39 +0500	Remove obsolete Windows installer certification infrastructure
pre-windows-reset-2026-08-25	4427284d1bef582bb3581330e0f7376dc26666b2	2026-08-25 15:33:26 +0500	feat(auth): add logout endpoint
stable-1931-tests-2026-08-23	70bd7f14868ecb8f9f359cb0520d3630a4295951	2026-08-23 21:58:12 +0500	test(feed): align legacy feed-efficiency assertions with scientific FCE thresholds
